Song Title,Artist,Creator,Circle Size,Total Notes,Average Interval,Minimum Interval,Maximum Interval,2 Chord,3 Chord,4 Chord,1 Note on Drag,2 Note on Drag,3 Note on Drag,Drag on 1 Drag,Drag on 2 Drag,Drag on 3 Drag,NPM,Difficulty
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Natsu,4,885,255.1052036199095,85,10200,885,0,0,3,0,0,3,0,0,235.2263666164614,5.34
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Natsu,4,1098,230.4986326344576,85,10971,1098,0,0,412,0,0,412,0,0,260.3088302697919,5.72
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Natsu,4,731,308.8054794520548,85,27429,731,0,0,6,0,0,6,0,0,194.3675079213844,4.63
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Natsu,4,756,298.5801324503311,85,27429,756,0,0,3,0,0,3,0,0,201.01482351377103,5.28
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Natsu,4,900,250.18242491657398,85,5314,900,0,0,1,0,0,1,0,0,239.30336132591788,3.35
Water Horizon,Seiryu,Spy,4,597,207.932384341637,78,2513,530,32,1,85,3,1,77,2,1,306.2480763311788,2.08
Water Horizon,Seiryu,Spy,4,1121,164.12640449438203,78,2199,371,279,60,289,10,9,181,9,5,575.0487329434698,3.4
Water Horizon,Seiryu,Spy,4,834,168.86994219653178,78,2513,557,131,5,202,21,7,121,10,3,427.823945829486,2.92
Water Horizon,Seiryu,Spy,4,1356,158.55902306648576,78,2199,223,419,89,301,12,6,205,7,4,695.5986457371498,4.34
Little Star,REDALiCE Feat. Ayumi Nomiya,lil_yumika_lil,4,691,232.94045174537987,81,1475,285,203,0,269,26,8,252,24,8,361.30404092339063,2.3
Little Star,REDALiCE Feat. Ayumi Nomiya,lil_yumika_lil,4,357,369.51791530944627,1,9180,259,49,0,252,7,1,249,7,1,186.6650399560788,1.53
Little Star,REDALiCE Feat. Ayumi Nomiya,lil_yumika_lil,4,1042,177.38390092879257,1,1147,318,263,66,427,20,2,417,19,2,544.8318533171824,3.36
Little Star,REDALiCE Feat. Ayumi Nomiya,lil_yumika_lil,4,1254,128.32026875699887,41,328,573,286,31,436,58,26,396,43,24,655.6805605179911,3.69
Little Star,REDALiCE Feat. Ayumi Nomiya,lil_yumika_lil,4,513,242.91648822269806,82,1312,423,45,0,295,29,2,291,29,2,268.23295657554183,1.79
Memory of Beach,M2U,YunoFanatic,4,353,466.6457564575646,230,1846,191,81,0,48,3,0,15,2,0,167.4030398115728,1.28
Memory of Beach,M2U,YunoFanatic,4,643,277.93626373626375,230,923,273,179,4,261,5,0,27,2,0,304.92961642731245,2.11
Memory of Beach,M2U,YunoFanatic,4,855,199.25117739403453,115,462,422,215,1,233,67,30,70,14,8,403.9910854208831,2.42
"My Soul, Your Beats! (TV Size)",Lia,DJPop,4,301,444.88082901554407,206,2276,87,107,0,277,15,7,277,15,7,206.84915817203068,1.55
"My Soul, Your Beats! (TV Size)",Lia,DJPop,4,423,293.39130434782606,103,2069,182,113,5,270,39,29,270,39,29,284.61849010900283,2.12
"My Soul, Your Beats! (TV Size)",Lia,DJPop,4,134,645.578947368421,206,3724,134,0,0,105,8,0,105,8,0,92.08567174435917,1.09
